region,edad,m,f,count
PIURA,a40-49,121470,123484,244954
PIURA,a50-59,93015,94610,187625
PIURA,a60-69,63592,63806,127398
PIURA,a70-79,32686,34451,67137
PIURA,a80-m,16682,19159,35841
PUNO,a0-04,52652,50645,103297
PUNO,a05-11,77566,74216,151782
PUNO,a12-17,66724,65022,131746
PUNO,a18-29,133632,131941,265573
PUNO,a30-39,95937,95238,191175
PUNO,a40-49,79356,79849,159205
PUNO,a50-59,57754,59956,117710
PUNO,a60-69,40049,42046,82095
PUNO,a70-79,23759,27380,51139
PUNO,a80-m,11078,14490,25568
SAN MARTIN,a0-04,50278,48663,98941
SAN MARTIN,a05-11,71787,69259,141046
SAN MARTIN,a12-17,55705,53204,108909
SAN MARTIN,a18-29,96416,92669,189085
SAN MARTIN,a30-39,72159,67033,139192
SAN MARTIN,a40-49,60291,52931,113222
SAN MARTIN,a50-59,47706,38949,86655
SAN MARTIN,a60-69,28056,22713,50769
SAN MARTIN,a70-79,13619,12321,25940
SAN MARTIN,a80-m,5356,6317,11673
TACNA,a0-04,14796,14391,29187
TACNA,a05-11,21221,20447,41668
TACNA,a12-17,17458,17297,34755
TACNA,a18-29,38768,37059,75827
TACNA,a30-39,32865,32116,64981
TACNA,a40-49,27555,27376,54931
TACNA,a50-59,19483,18791,38274
TACNA,a60-69,11919,11326,23245
TACNA,a70-79,6136,5561,11697
TACNA,a80-m,2297,2538,4835
TUMBES,a0-04,12497,11909,24406
TUMBES,a05-11,17772,17244,35016
TUMBES,a12-17,13334,12737,26071
TUMBES,a18-29,22860,22472,45332
TUMBES,a30-39,18728,18253,36981
TUMBES,a40-49,16220,15228,31448
TUMBES,a50-59,12281,11257,23538
TUMBES,a60-69,7946,6976,14922
TUMBES,a70-79,3642,3271,6913
TUMBES,a80-m,1721,1749,3470
UCAYALI,a0-04,39700,37753,77453
UCAYALI,a05-11,52619,50633,103252
UCAYALI,a12-17,37802,36441,74243
UCAYALI,a18-29,62260,59527,121787
UCAYALI,a30-39,45692,41601,87293
UCAYALI,a40-49,36537,31800,68337
UCAYALI,a50-59,27860,22873,50733
UCAYALI,a60-69,16908,13470,30378
UCAYALI,a70-79,7672,6284,13956
UCAYALI,a80-m,2794,2635,5429
